title,date
capital one info update,2016-05-26T00:00:00.000Z
research weed,2016-05-24T00:00:00.000Z
get more pillows / covers,2016-05-24T00:00:00.000Z
acquire weed,2016-05-24T00:00:00.000Z
poop,2016-05-24T00:00:00.000Z
shower,2016-05-23T00:00:00.000Z
log,2016-05-23T00:00:00.000Z
calendar,2016-05-23T00:00:00.000Z
wash rugs,2016-05-23T00:00:00.000Z
move things to aunt's house,2016-05-23T00:00:00.000Z
clean room / pack more,2016-05-22T00:00:00.000Z
catch up on spreadsheet,2016-05-22T00:00:00.000Z
back to houston,2016-05-22T00:00:00.000Z
transfer notes to google keep,2016-05-18T00:00:00.000Z
dry laundry,2016-05-18T00:00:00.000Z
pack for dallas,2016-05-18T00:00:00.000Z
shower,2016-05-18T00:00:00.000Z
calendar,2016-05-17T00:00:00.000Z
log,2016-05-17T00:00:00.000Z
cut up antidepressants,2016-05-17T00:00:00.000Z
move stuff to my car,2016-05-17T00:00:00.000Z
laundry,2016-05-17T00:00:00.000Z
clean room / throw things away,2016-05-17T00:00:00.000Z
call rice health center to forward prescription to target,2016-05-17T00:00:00.000Z
move stuff to aunt's car,2016-05-17T00:00:00.000Z
do some packing,2016-05-16T00:00:00.000Z
log,2016-05-15T00:00:00.000Z
calendar,2016-05-15T00:00:00.000Z
clean room a bit,2016-05-15T00:00:00.000Z
dinner with aunt,2016-05-15T00:00:00.000Z
reply to fred's email,2016-05-12T00:00:00.000Z
email deric questions,2016-05-11T00:00:00.000Z
pack,2016-05-11T00:00:00.000Z
laundry,2016-05-11T00:00:00.000Z
ask nam about staying until 5/23,2016-05-11T00:00:00.000Z
back to houston,2016-05-12T00:00:00.000Z
commencement,2016-05-14T00:00:00.000Z
convocation,2016-05-13T00:00:00.000Z
return sid keys,2016-05-16T00:00:00.000Z
calendar,2016-05-10T00:00:00.000Z
email aunt about graduation ceremony times,2016-05-10T00:00:00.000Z
clean boyfriend's house a bit,2016-05-10T00:00:00.000Z
laundry,2016-05-10T00:00:00.000Z
make list of things to buy for apartment,2016-05-09T00:00:00.000Z
talk to aunt about what to do with car,2016-05-15T00:00:00.000Z
read graduation ceremony requirements,2016-05-10T00:00:00.000Z
ask about getting sid stole,2016-05-09T00:00:00.000Z
pick up sid stole,2016-05-13T00:00:00.000Z
administrivia,2016-05-05T00:00:00.000Z
clean bf's clothes,2016-05-05T00:00:00.000Z
house chores,2016-05-05T00:00:00.000Z
cut up antidepressants,2016-05-05T00:00:00.000Z
towels,2016-05-05T00:00:00.000Z
poop,2016-05-05T00:00:00.000Z
shower,2016-05-05T00:00:00.000Z
clean room,2016-05-16T00:00:00.000Z
pick up antidepressants,2016-05-17T00:00:00.000Z
target run,2016-05-04T00:00:00.000Z
shower,2016-05-04T00:00:00.000Z
timesheet,2016-05-12T00:00:00.000Z
poop,2016-05-04T00:00:00.000Z
shower,2016-05-03T00:00:00.000Z
laundry,2016-05-03T00:00:00.000Z
make rice alumni email,2016-05-05T00:00:00.000Z
think about new system of tracking data,2016-05-11T00:00:00.000Z
pick up birth control,2016-05-04T00:00:00.000Z
call target pharmacy to change pickup location,2016-05-04T00:00:00.000Z
poop,2016-05-02T00:00:00.000Z
shower,2016-05-02T00:00:00.000Z
clean bf's room,2016-05-02T00:00:00.000Z
laundry,2016-05-02T00:00:00.000Z
ANTH 200 - download all slides,2016-04-29T00:00:00.000Z
ANTH 200 - review previous quizzes,2016-04-29T00:00:00.000Z
senior exit survey,2016-05-02T00:00:00.000Z
fill out ablon form,2016-05-11T00:00:00.000Z
ECOG - code for memory,2016-04-28T00:00:00.000Z
ToDo - look at express clothes,2016-04-28T00:00:00.000Z
ECOG - email about absence in tomorrow's meeting,2016-04-28T00:00:00.000Z
send info about graduation events,2016-05-03T00:00:00.000Z
review dad's road trip plans,2016-05-11T00:00:00.000Z
ToDo - poop,2016-04-28T00:00:00.000Z
ToDo - shower,2016-04-28T00:00:00.000Z
ECOG - work on slides,2016-04-28T00:00:00.000Z
ECOG - code for timing,2016-04-28T00:00:00.000Z
ToDo - pick up grap and gown,2016-04-28T00:00:00.000Z
ECOG - prepare with jake,2016-04-28T00:00:00.000Z
ToDo - clean vape,2016-04-27T00:00:00.000Z
ECOG - make ensemble node plots,2016-04-27T00:00:00.000Z
ToDo - pack / get ready,2016-04-28T00:00:00.000Z
ECOG - run code at sid,2016-04-27T00:00:00.000Z
dentist appointment,2016-05-26T00:00:00.000Z
STAT 280 - grade homework 12,2016-04-27T00:00:00.000Z
PHIL 334 - take final exam,2016-05-01T00:00:00.000Z
ToDo - spreadsheet,2016-04-27T00:00:00.000Z
ToDo - calendar,2016-04-27T00:00:00.000Z
ToDo - emails,2016-04-27T00:00:00.000Z
ToDo - hang out with nicholas,2016-04-27T00:00:00.000Z
ToDo - pack / get ready for houston trip,2016-04-26T00:00:00.000Z
ToDo - bus to dallas,2016-04-28T00:00:00.000Z
ToDo - bus to houston,2016-04-27T00:00:00.000Z
ToDo - shower,2016-04-26T00:00:00.000Z
ECOG - work with jake,2016-04-27T00:00:00.000Z
ToDo - spreadsheet,2016-04-26T00:00:00.000Z
ToDo - submit timesheet,2016-04-29T00:00:00.000Z
ToDo - emails,2016-04-26T00:00:00.000Z
ToDo - meeting with deric (ablon),2016-04-29T00:00:00.000Z
ECOG - 4d vect naive bayes,2016-04-25T00:00:00.000Z
COMP 130 - grade homework 9,2016-04-26T00:00:00.000Z
PHIL 334 - pick up graded paper,2016-04-28T00:00:00.000Z
ANTH 200 - data sheet,2016-04-29T00:00:00.000Z
ANTH 200 - read module 11 articles,2016-04-29T00:00:00.000Z
PHIL 334 - look at final on owlspace,2016-04-27T00:00:00.000Z
ToDo - review graduation requirements,2016-04-26T00:00:00.000Z
ToDo - course evaluations,2016-04-26T00:00:00.000Z
ToDo - complain to lighterusa,2016-04-19T00:00:00.000Z
ToDo - go to all classes,2016-04-21T00:00:00.000Z
PHIL 334 - think of discussion question,2016-04-21T00:00:00.000Z
ToDo - shower,2016-04-20T00:00:00.000Z
ToDo - poop,2016-04-20T00:00:00.000Z
STAT 280 - grade homework 10,2016-04-20T00:00:00.000Z
COMP 427 - finish hw 10,2016-04-20T00:00:00.000Z
ToDo - gather clothes,2016-04-19T00:00:00.000Z
ECOG - lab meeting,2016-04-28T00:00:00.000Z
ToDo - hang out with nicholas,2016-04-20T00:00:00.000Z
ToDo - clean vape,2016-04-19T00:00:00.000Z
ToDo - poop,2016-04-19T00:00:00.000Z
ToDo - email ypg,2016-04-19T00:00:00.000Z
ToDo - email deric,2016-04-19T00:00:00.000Z
ECOG - upload todo's for jake,2016-04-19T00:00:00.000Z
ToDo - administrivia,2016-04-19T00:00:00.000Z
ToDo - poop,2016-04-18T00:00:00.000Z
ToDo - bus to dallas,2016-04-21T00:00:00.000Z
ToDo - pack,2016-04-21T00:00:00.000Z
ToDo - finish laundry,2016-04-21T00:00:00.000Z
ToDo - start laundry,2016-04-20T00:00:00.000Z
COMP 427 - work on hw 10,2016-04-19T00:00:00.000Z
ToDo - get COMP files from clear,2016-04-18T00:00:00.000Z
pack for china trip,2016-06-18T00:00:00.000Z
flight to china,2016-06-19T00:00:00.000Z
flight to portland,2016-05-23T00:00:00.000Z
final pack,2016-05-23T00:00:00.000Z
ToDo - poop,2016-04-17T00:00:00.000Z
ToDo - shower,2016-04-18T00:00:00.000Z
ToDo - input flights in calendar,2016-04-18T00:00:00.000Z
COMP 427 - work on hw 10,2016-04-18T00:00:00.000Z
ToDo - grocery shopping,2016-04-18T00:00:00.000Z
ToDo - email capital one recruiter questions,2016-04-21T00:00:00.000Z
ANTH 200 - review slides (4/21),2016-04-29T00:00:00.000Z
ANTH 200 - take quiz 11,2016-04-21T00:00:00.000Z
